Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
11/24/1956,"Paris, France",Linee Aeree Italiane,Rome - Paris -  Shannon - New York City,Douglas DC-6B,35,34,8
11/27/1956,"Caracas, Venezuela",Linea Aeropostal Venezolana,New York City - Maiquetia,Lockheed 749-79-34 Constellation,25,25,0
12-08-1956,"Caqueta, Colombia",AIDA,Bogota - Medellin - Quibdo,Consolidated PBY-5A Catalina,16,14,0
12-09-1956,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,Vancouver - Toronto,Canadair DC-4M-2 Northstar,62,62,0
12-12-1956,"Dannemois, France",Air France,Training,Vickers 708 Viscount,5,5,0
12/22/1956,"Grub, Germany",JAT Yugoslav Airlines,Wien - Munchen,Convair CV-340-58,30,3,0
12/22/1956,"Mt. Giner, Italy",Linee Aeree Italiane,Rome - Milan,Douglas DC-3,21,21,0
12/30/1956,"Dhahran, Saudi Arabia",Military - U.S. Air Force,,Lockheed C-121C Super Constellation,37,11,0
01-06-1957,"Owasso, Oklahoma",American Airlines,Joplin - Owasso,Convair CV-240-0,10,1,0
01-11-1957,"Near Buenos Aires, Argentina",Fuerza Aérea Argentina,Buenos Aires - Mar Del Plata - Mendoza,Vickers 615 Viking 1B,33,17,1
01/23/1957,"Ometepe Island, Nicaragua",Lanica,San Carlos - Managua,Douglas DC-3,16,16,0
01/29/1957,"Paris, France",Air France,Tunis - Paris,SNCASE SE.2010 Armagnac,70,2,0
01/31/1957,"Near Sunland, California",Douglas Aircraft,Santa Monica - Santa Monica,Douglas DC-7B / U.S. Air Force F-89J,6,5,3
02-01-1957,"New York, New York",Northeast Airlines,New York City - Miami,Douglas DC-6A,101,21,0
02/22/1957,"Kimpo Air Base, South Korea",Military - U.S. Air Force,"Kimpo AB - Tokyo, Japan",Douglas C-124C,159,22,0
03-02-1957,"Blyn, Washington",Alaska Airlines,Fairbanks - Seattle,Douglas C-54B,5,5,0
03-05-1957,"Drayton, England",Military -Royal Air Force,,Blackburn Beverley C Mark 1,22,18,2
03-09-1957,"El Soldado, Colombia",AVIANCA,Condoto - Cali,Douglas DC-3,15,15,0
03/14/1957,"Manchester, England",British European Airways,Amsterdam - Manchester,Vickers Viscount 701,20,20,2
03/17/1957,"Near Cebu, Philippines",Military - Philippine Air Force,Cebu - Manila,Douglas C-47 Skytrain,25,24,0
03/18/1957,"Near Sayari, Bolivia",Lloyd Aereo Boliviano,Cochabamba - Oruro,Douglas DC-3,19,19,0
03/22/1957,Over the North PacifiOcean,Military - U.S. Air Force,Travis AFB - Tokyo,Boeing C-97C,67,67,0
04-07-1957,"Bage, Brazil",Varig,,Curtiss C-46A-45-CU,40,40,0
04-08-1957,"Algiers, Algeria",Air France,,Douglas DC-3,34,34,0
04-10-1957,"Anchieta Island, Brazil",REAL,Rio de Janerio - Sao Paulo,Douglas DC-3,30,26,0
04/15/1957,"Merida, Mexico",Transportes Aéreos Mexicanos,,Consolidated B-24J,3,3,1
04/17/1957,"Near El Quweira, Jordan",Military -Royal Air Force,,Vickers Valetta C-Mk.1,24,24,0
04/20/1957,"Jirkouk, Iraq",Air France,"Tehran, Iran - Istanbul, Turkey",Lockheed Super Constellation,,1,0
05-01-1957,"Blackbushe, Hants, England",Eagle Aviation,Blackbushe - Tripoli,Vickers Viking 1B,35,34,0
05-05-1957,"Santoshpur, India",Indian Airlines,,Douglas C-47A,3,1,0
05-09-1957,"Barajas, Madrid, Spain",Aviaco,Santiago de Compostella - Madrid,Bristol 170 Freighter,37,37,0
05/13/1957,"Near San Carlos de Bariloche, Argentina",Lineas Aereas del Estado,,Vickers 615 Viking 1B,16,16,0
05/13/1957,"Narsarressuak, Greenland",U.S. Overseas Airways,,Douglas DC-4,3,2,0
05/13/1957,"New Delhi, India",Indian Airlines,,Douglas DC-3,2,2,3
06/14/1957,"Near Moscow, Russia",LOT Polish Airlines,Warsaw - Moscow,Ilyushin P-14,13,9,0
06/18/1957,"Bodensee, Switzerland",Swissair,Training,Douglas C-47B,9,9,0
06/22/1957,"Near Clarksburg, Maryland",Capital Airlines,Training,Douglas C-47A,3,3,0
06/23/1957,"Port Hardy, BC, Canada",Queen Charlotte Airlines,Port Hardy - Vancouver,Douglas DC-3,18,14,0
07-01-1957,"Bay of Bengal, Pakistan",Pakistan International Airlines,,Douglas DC-3,24,24,0
07/16/1957,"Near Biak, Indonesia",KLM Royal Dutch Airlines,Mokmer - Manila,Lockheed 1049C Super Constellation,68,58,0
07/25/1957,"Daggett, California",Western Airlines,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,Convair CV-240,16,1,0
08-11-1957,"Near Issoudun, Quebec, Canada",Maritime Central Airways,Reykjavík - Montreal,Douglas DC-4,79,79,0
08/15/1957,"Copenhagen, Denmark",Aeroflot,Riga - Copenhagen,Ilyushin IL-14P,23,23,0
08/20/1957,"Assam, India",Indamer,,Douglas DC-3,8,8,0
08/29/1957,"Near Juticalpa, Honduras",Sahsa Airlines,,Douglas DC-3,12,12,0
09-03-1957,"Niquitao, Venezuela",Avensa,Maiquetia - Barinas,Douglas DC-3,8,8,0
09/15/1957,"New Bedford, Massachusett",Northeast Airlines,Martha's Vineyard - New Bedford,Douglas DC-3,24,12,0
09/18/1957,"Montevideo,  Uruguay",REAL,San Pablo - Porto Alegre - Montevideo,Convair CV-440-62,35,1,0
09/28/1957,,British European Airways,,de Havilland DH-114 Heron,3,3,0
10-03-1957,"Beirut, Lebanon",Lebanese International Airways,Beirut - Kuwait City,Curtiss C-46A-45-CU,27,27,0
10/23/1957,"Belfast, Ireland",British European Airways,London - Belfast,Vickers 802 Viscount,7,7,0
10/28/1957,"Madrid, Spain",Iberia Airlines,Tanger - Madrid,Douglas DC-3,21,21,0
10/30/1957,"Near Campeche, Mexico",Transportes Aereos Mexicanos,,Fairchild C-82A,3,3,0
11-06-1957,"Bristol, England",Bristol Aeroplane Co.,,Bristol Britannia 175,15,15,0
11-09-1957,"900 miles E of Honolulu, Hawaii, PacifiOcean",Pan American World Airways,San Fransisco - Honolulu,Boeing - 377-10-29 Stratocruiser,44,44,0
11/15/1957,"Near Palma de Mallorca, Spain",Aviaco,Barcelona - Palma de Mallorca,de Havilland DH-114 Heron 2D,4,4,0
11/15/1957,"Chessell Down Hants, England",Aquilla Airways,Southhampton - Lisbona,Short Solent 3 (flying boat),58,43,0
11/21/1957,"Christchurch, New Zealand",Straits Air Freight Express,Paraparaumu - Timaru,Bristol 170 Freighter 31,4,4,0
12-08-1957,"Bolivar, Argentina",Aerolineas Argentinas,Buenos Aires - San Carlos,Douglas DC-4,61,61,0
12-10-1957,"Jeannine Lake, Quebec, Canada",Northern Wings,,Douglas C-47A,3,3,0
12-11-1957,"Ozamis City, Philippines",Philippine Air Lines,Ozamis City - Pagadian,de Havilland Canada DHC-3 Otter,12,2,0
12/23/1957,"Stansted, England",Scottish Airlines,Malta - London,Avro 685 York C-1,4,4,0
12/23/1957,"Off Oahu, Hawaii",Military - U.S. Navy,,Lockheed WV-2,23,19,0
12/31/1957,"Buenos Aires, Argentina",Aerolineas Argentinas,Buenos Aires - Rosario - Corrientes,Short Sunderland,51,9,0
01/16/1958,"Belem, Brazil",Cruzeiro,,Fairchild C-82A,3,3,0
01/20/1958,"Near La Paz, Bolivia",TAM (Bolivia),Tipuani - La Paz,Douglas DC-3,11,11,0
02-01-1958,"Rio de Janeiro, Brazil",Loide Aéreo Nacional,Rio de Janerio - Fortaleza,Douglas DC-4,67,5,0
05/15/1958,"New Delhi, India",Pakistan International Airlines,Dehli - Karachi,Convair CV-240-7,38,21,2
02-01-1958,"Norwalk, California",Military - U.S.  Air Force / Military - U.S. Navy,Long Beach - McGuire AFB,Douglas C-118A / Lockheed P2V-5F,49,47,1
02-06-1958,"Munich, Germany",British European Airways,Munich - Manchester,Airspeed Ambassador A5-57,44,23,0
02/19/1958,"Motu Taoru, France",Réseau Aérien Interinsulaire,,Consolidated PBY-5A  Catalina,15,15,0
02/20/1958,"Off Corvo Island, Azores",Military - U.S. Navy,,Lockheed WV-2,22,22,0
02/27/1958,"Horwich, Lancs, England",Silver City Airways,Isle of Man - Manchester,Bristol 170 Freighter 21,42,35,0
03-07-1958,"Off Ryukyu Islands, Okinawa",Military - U.S. Marine Corps/Military - U.S. Marine Corps,,Fairchild R4Q / Dougas AD-6 skyraider,26,26,0
03-07-1958,"Menzalah Lake, Egypt",Misrair,Athens - Cairo,Vickers 628 Viking 1B,26,8,0
03/22/1958,"Grants, New Mexico",Private,,Lockheed 18 Lodestar,4,4,0
03/24/1958,"Near Kathmandu, Nepal",Indian Airlines,Simra - Kathmandu,Douglas DC-3,20,20,0
03/25/1958,"Miami, Florida",Braniff Airlines,,Douglas DC-7-C,24,9,0
03/27/1958,"Bridgeport, Texas",Military - U.S. Air Force/Military - U.S. Air Force,,Douglas C-124C / Fairchild C-119C,18,18,0
04-02-1958,"Quito, Ecuador",Transportes Aereos Orientales,Quito - Esmeraldas,Junkers JU-52/3m,14,3,0
04-06-1958,"Freeland, Michigan",Capital Airlines,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,47,47,0
04-07-1958,"Mt. Illiniza, Ecuador",AREA,Guayaquil - Quito,Douglas DC-3,32,32,0
04/14/1958,"Off Castell de Fels, Spain",Aviaco,Zaragoza - Barcelona,de Havilland DH-114 Heron 2D,16,16,0
04/21/1958,"Near Sloan, 10 miles SW of Las Vegas, Nevada",United Air Lines / Military - U.S. Air Force,Los Angeles - New York City,Douglas DC-7 / F-100F,49,49,0
05/18/1958,"Near Casablanca, Morocco",Sabena,Lisbon - Leopoldville,Douglas DC-7C,65,61,0
05/20/1958,"Brunswick, Maryland",Capital Airlines / Military - Air National Guard,Pittsburgh - Baltimore,Vickers Viscount 745D / T-33A,11,11,0
05/25/1958,"Gurgaon, India",Dan-Air Services,,Avro 685 York C-1,5,4,0
05/31/1958,"SW of Algiers, Algeria",Air France,Algier - Colomb-Bechar - Tindouf,Douglas DC-3,15,15,0
05/31/1958,"Rio de Janeiro, Brazil",Paraense Transportes Aéreos,,Curtiss C-46D,4,4,0
06-02-1958,"Manila, Philippines",Pan American World Airways,San Francisco - Singapore,Boeing 377 Stratocruiser 10-26,57,1,0
06-02-1958,"Near Guadalajara, Mexico",Aeronaves de Mexico,Guadalajara - Mexico City,Lockheed 749A Constellation,45,45,0
06-04-1958,"Martinsburg, West Virginia",Capital Airlines,Training,Douglas DC-3,3,1,0
06/16/1958,"Curitiba, Brazil",Cruzeiro,Florianopolis - Curitiba,Convair CV-440-59,27,19,0
06/25/1958,"Mohanbari, India",Indian Airlines,,Douglas C-47A,7,7,0
06/27/1958,"Near Chicopee Falls, Massachusetts",Military - U.S. Air Force,Westover AFB - London,Boeing KC-135A,15,15,0
07-09-1958,"Dhaka, Baangladesh",Indian Airlines,,Douglas C-47A,3,3,0
08-09-1958,"Benghazi, Libya",Central African Airways,Wadi Halfa - Benina,Vickers Viscount 748D,54,36,0
08-12-1958,"Sakiya Saugye, Japan",All Nippon Airways,Tokyo - Nagoya,Douglas DC-3,33,33,0
08-12-1958,"Maraso Bay, Brazil",LANSA,,Douglas DC-4,10,10,0
08/14/1958,"North AtlantiOcean, 100 miles W of Galway Bay, Ireland",KLM Royal Dutch Airlines,Amsterdam - Shannon - Gander - New York,Lockheed 1049H Super Constellation,99,99,0
08/15/1958,"Nantucket, Massachusett",Northeast Airlines,New York City - Nantucket,Convair CV-240-2,34,24,0
08/15/1958,"Near Chita, Russia",Aeroflot,,Tupolev TU-104-A,64,64,0
09-02-1958,"Sasnashen, Russia",Military - U.S. Air Force,,Lockheed C-130A-II Hercules,17,17,0
09-02-1958,"London, England",Independent Air Travel,,Vickers 621 Viking 1,3,3,4
09-02-1958,Off Guam,Military - U.S. Air Force,Guam - Clark AB,Douglas C-124C Globemaster,19,19,0
09-05-1958,"Campina Grande, Brazil",Loide Aereo Nacional,,Curtiss C-46A-CU,18,13,0
09-08-1958,"Near Fairchild AFB, Washington DC",Military - U.S. Air Force / U.S. Air Force,,Boeing B-52 / Boeing B-52,16,13,0
09-09-1958,"Mount Oyama, Japan",Flying Tiger Line,,Lockheed L-1049H Super Constellation,8,8,0
09/15/1958,"Triel, France",Military - U.S. Air Force,,Lockheed C-130A Hercules,15,15,0
09/29/1958,Over the Mediterranean Sea,Middle East Airlines,Beirut - Rome,Avro 685 York I,5,5,0
10-09-1958,"Payette, Idaho",Military - U.S. Air Force,,Fairchild C-123 Provider,19,19,0
10/14/1958,"Mt. Alto del Cedro, Venezuela",Linea Aeropostal Venezolana,,Lockheed 1049E Super Constellation,23,23,0
10/15/1958,"Villa Montes, Bolivia",TAM (Bolivia),Fortin Campero - Tarija,Douglas C-47A,20,20,0
10/17/1958,"Near Kanash, Russia",Aeroflot,Peking - Moscow,Tupolev TU-104A,80,80,0
10/18/1958,"Placentia Bay, Canada",Military - U.S. Navy,"Patuxent River, NAS - Argentia,NAS",Lockheed WV-2 Super Constellation,29,11,0
10/22/1958,"Anzio, Italy",British European Airways,London - Napoli,Vickers Viscount 701C,31,31,0
11-01-1958,"Nipe Bay, Cuba",Cubana de Aviacion,Miami - Varadero,Vickers Viscount 755D,20,17,0
11-03-1958,"Near Roccatamburo di Poggiodomo, Italy",Yemen Airlines,Rome - Belgrade,Douglas C-47-DL,8,8,0
11-08-1958,"La Paz, Bolivia",TAM (Bolivia),San Borja - La Paz,Douglas DC-3,3,3,0
11-09-1958,North AtlantiOcean,ARTOP Aerotopografica LDA,Cabo Ruivo - Funchal,Martin Mariner,36,36,0
11/16/1958,"Fort Collins, Colorado",Capitol Airways,,Curtiss C-46F,2,2,0
12-04-1958,"Guadarrama Mountains, Spain",Aviaco,Vigo - Madrid,SNCASE Languedoc,21,21,0
12/24/1958,"Winkton, England",BOAC,Test,Bristol 175 Britannia 312,12,9,0
12/26/1958,"Salisbury, Zimbabwe",Union Aeromaritime de Transport,Johannesberg - Salisbury - Brazzaville - Nice - Paris,Douglas DC-6B,70,3,0
12/30/1958,"Rio de Janeiro, Brazil",VASP,Rio de Janeiro - Sao Paulo,Saab Scandia,37,21,0
01/13/1962,"Near Tippi, Ethiopia",Ethiopian Airlines,Tippi - Jimma,Douglas DC-3,18,5,1
01-06-1959,"Mt. Pena Blanca, Guatemala",Sahsa Airlines,Copan - Nuovo Octopeque,Douglas DC-3,5,5,0
01-08-1959,"Mt. Holston, Tennessee",Southeast Airlines,Nashville - Knoxville - Tri-City Aport,Douglas DC-3,10,10,0
01-11-1959,"Rio de Janeiro, Brazil",Lufthansa,Hamburg - Rio de Janeiro,Lockheed 1049G Super Constellation,39,36,0
01/14/1959,"Panther Peak, California",California Air Freight,"Burbank, CA - Seattle, WA",Curtiss C-46F,2,2,0
01/16/1959,"Off Mar del Plata, Argentina",Austral Lineas Aeras (Argentina),Buenos Aires - Mar del Plata,Curtiss C-46A-50-CU,52,51,0
01/21/1959,"Near Merida, Venezuela",Linea Expresa Bolivar,Merida - Lagunillas,Curtiss C-46D-15-CU,4,4,0
01/22/1959,"Dabouk, Jordan",Air Jordan,Jerusalem - Dobouk,Convair CV-240-2,15,10,0
01/27/1959,"Brindisi, Italy",Air Charter,,Avro 688,6,2,0
02-01-1959,"Kerrville, Texas",General Airways,"Pueblo, CO - San Antoonio, TX",Douglas DC-3,28,3,0
02-03-1959,"Mason City, Iowa",Dwyer Flying Service - Private Charter,Mason City - Fargo,Beechcraft Bonanza 35,4,4,0
02-03-1959,"La Guardia Airport, New York, NY",American Airlines,Chicago - New York City,Lockheed  188A Electra,73,65,0
02/17/1959,"Gatwick, Surrey, England",Turkish Airlines (THY),Ankara - Istanbul -  London,Vickers Viscount 794D,24,14,0
02/18/1959,"Belen, Chile",Southern Cross Airways,"Arica, Colombia - Puerto Suarez, Bolilvia",Curtiss C-46A,5,5,0
11/21/1959,"Beirut, Lebanon",Ariana Afghan Airlines,Beirut - Tehran,Douglas DC-4,27,24,0
03-05-1959,"Managua, Nicaragua",TACA,Las Mercedes - Tegucigalpa,Vickers Viscount 763,19,15,0
03-12-1959,"Tobu, India",Indian Airlines,,Douglas C-47A,7,5,0
03/13/1959,"Mahon, Spain",Aviaco,Palma de Mallorca - Mahon,Bristol 170 Freighter 21E,18,1,0
03/29/1959,"Near Banga, Central African Republic",Union Aeromaritime de Transport,,Nord 2501 Noratlas,9,9,0
03/29/1959,"Near Silchar, India",Indian Airlines,Dum Dum - Agartala-Singerbhil - Kumbhirgram,Douglas DC-3,24,24,0
03/30/1959,"Alma, Georgia",Riddle Airlines,"Orlando, FL - Atlanta, GA",Curtiss C-46A,2,2,0
04/17/1959,"Puerto Kino, Mexico",Tigres Voladores,Mexicale - Guaymas,Curtiss C-46F-1-CU,26,26,0
04/23/1959,"Van, Turkey",Air Charter,"Ankara, Turkey - Bahrain",Avro 688 Super Trader,12,12,0
04/29/1959,"Valdemeca, Spain",Iberia Airlines,Barcelona - Madrid,Douglas DC-3,28,28,0
05-02-1959,"Mallorca, Spain",Austria-Flugdienst,Palma de Mallorca - Wien,Douglas DC-3,5,5,0
05-12-1959,"Charleston, West Virginia",Capital Airlines,Pittsburg - Charleston,Lockheed C-69 Constellation,44,2,0
05-12-1959,"Chase, Maryland",Capital Airlines,New York City - Atlanta,Vickers Viscount 745D,31,31,0
05/13/1959,"Near Toumavista, Peru",Transportes Aereos Peruanas,Lima - Pucallpa,Curtiss C-46A,12,12,0
05/15/1959,"Off Mar del Plata, Aregntina",Aerolineas Argentinas,Mar del Plata - Bahia Blanca,Douglas DC-3,10,10,0
05/21/1959,"Moro, Peru",Lineas Aéreas Interpolar,Talara  - Arica,Curtiss C-46A-50-CU,8,8,0
06-01-1959,Nicaragua,Aerolineas Nacionales,,Curtiss C-46,60,60,0
06/23/1959,"Cerros Baco, Peru",AVIANCA,Bogota - Lima,Douglas DC-4,14,14,0
06/26/1959,"Near Varese, Lombardia, 20 miles NW of Milan, Italy",Trans World Airlines,Milan - Paris,Lockheed 1649A Starliner,68,68,0
06/30/1959,"Ishikawa City, Ryukyu Island, Okinawa",Military - U.S. Air Force,,North American F-100D-25NA,1,0,17
08-03-1959,"Sagone, India",Kalinga Airlines,Mohanbari - Along,Douglas DC-3,6,6,0
08/14/1959,"Karachi, Pakistan",Pakistan International Airlines,,Vickers 815 Viscount,3,2,0
08/15/1959,"Calverton, New York",American Airlines,Training,Boeing 707-123,5,5,0
08/19/1959,"Near Barcelona, Spain",Transair,Barcelona - London,Douglas DC-3,32,32,0
08/27/1959,"Near Asuncion, Paraguay",Aerolineas Argentinas,,de Havilland DH-106 Comet 4,50,2,0
09-02-1959,"Abilene, Texas",Aaxico Airlines,"Abilene, TX - Forth Worth, TX",Curtiss C-46A,2,2,0
09-08-1959,"Poza Rica, Mexico",Mexicana,Mexico City - Merida,Douglas DC-3,16,1,0
09-12-1959,"Near Tegucigalpa, Honduras",Pan American World Airways,San Salvador - Miami,Douglas DC-4,3,3,0
09/23/1959,"Sao Paulo, Brazil",VASP,Sao Paulo - Rio de Janeiro,Saab Scandia 90A-1,20,20,0
09/24/1959,"Bordeaux, France",T.A. Intercontinentaux (France),Bordeaux - Bamako,Douglas DC-7C,65,53,0
09/24/1959,"Great Sitkin Island, Alaska",Reeve Aleutian Airlines,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,16,16,0
09/29/1959,"Buffalo, Texas",Braniff Airlines,Houston - Dallas,Lockheed 188A Electra,34,34,0
10/26/1959,"Santa Maria, California",PacifiAir Lines,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,19,1,1
10/29/1959,"Athens, Greece",OlympiAirways,Athens - Thessaloniki,Douglas DC-3,18,18,0
10/30/1959,"Waynesborough, Virginia",Piedmont Airlines,"Washington DC - Charlottsville, VA",Douglas DC-3,27,26,0
11-04-1959,"St. Cleophas, Quebec, Canada",Wheeler Airlines,Montreal - Hall Lake,Douglas C-54A,5,5,0
11/16/1959,Gulf of Mexico,National Airlines,Tampa - New Orleans,Douglas DC-7B,42,42,0
11/16/1959,"Lvov, Ukraine, USSR",Aeroflot,,Antonov AN-10,40,40,0
11/24/1959,"Chicago, Illinois",Trans World Airlines,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,3,3,8
12-01-1959,"Willamsport, Pennsylvania",Allegheny Airlines,Harrisburg - Willamsport,Martin 202,26,25,0
12-08-1959,"Off Cartagena, Colombia",Sociedad Aeronautica Medellin,San Andres Island - Cartagena,Curtiss C-46A,45,45,0
12/13/1959,"Near Tashkent, Uzbekistan, USSR",Aeroflot,Kabul - Tashkent,Ilyushin IL-18,29,29,0
12/17/1959,"Ketchikan, Alaska",California Aircraft,Juneau - Annette Island,Consolidated PBY-5A Catalina,3,3,0
12/21/1959,"Rome, Italy",Alitalia,Training,Vickers 785D Viscount,2,2,0
12/22/1959,"Rid de Janeiro, Brazil",VASP,Rio de Janeiro - Sao Paulo,Vickers Viscount 827 / Fokker AT-6,33,33,10
12/24/1959,"Palembang, Indonesia",Garuda Indonesia Airlines,,Douglas C-47A,2,1,0
12/31/1959,"Near San Jose de Chiquitos, Bolivia",Lloyd Aereo Boliviano,,Douglas DC-3,11,11,0
01-03-1960,"Taksing, India",Indian Airlines,,Douglas C-47A,9,9,0
01-06-1960,"Wilmington/Bolivia, North Carolina",National Airlines,New York - Miami,Douglas DC-6B,34,34,0
01-10-1960,Gulf of Sirte,Military - U.S. Army,Misurata - Benghazi,de Havilland Canada U-1A Otter,10,10,0
01/18/1960,"Charles City, Virginia",Capital Airlines,Washington D.C. - Norfolk,Vickers Viscount 745D,50,50,0
01/19/1960,"Ankara, Turkey",Scandinavian Airlines (SAS),Istanbul - Ankara,Sud Aviation Caravelle 1,42,42,0
05-11-1973,"Near Semipalatinsk, USSR",Aeroflot,,Ilyushin IL-18B,61,61,0
01/21/1960,"Montego Bay, Jamacia",AVIANCA,Miami - Montigo Bay,Lockheed 1049E Super Constellation,46,37,0
01/26/1960,"Off Bathurst Island, Australia",Transportes Aéreos de Timor,Darwin - Baucau,de Havilland DH-114 Heron 2D,9,9,0
02-05-1960,"Laguna de Huana-Costa , Boliva",Lloyd Aereo Boliviano,Laguna de Huana-Costa - La Paz,Douglas DC-4,59,59,0
02/26/1960,"Rio de Janeiro, Brazil",REAL / Military - U.S. Navy,Campos - Rio de Janeiro,Douglas DC-3 / USN R-6D-1,61,61,0
02/26/1960,"Shannon, Ireland",Alitalia,Shannon - New York City,Douglas DC-7C,52,34,0
02/26/1960,"Lvov, Ukraine, USSR",Aeroflot,,Antonov AN-10,32,32,0
03/15/1960,"El Refugio, Colombia",Agencia Interamericana de Aviada,Aracacuara - Villavicencio,Consolidated PBY-5A Catalina,13,6,0
03/16/1960,"Near Tokyo, Japan",All Nippon Airways,Tokyo - Nagoya,Douglas DC-3,33,3,0
03/17/1960,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,Chicago - Miami,Lockheed 188C Electra,63,63,0
03/19/1960,"Cordoba, Colombia",SAMSA,San Andres - Medellin,Curtiss C-46,46,25,0
04-05-1960,"Siuna, Nicaragua",Lanica,Siuna - Bonanza,Curtiss C-46A-40-CU,18,2,0
04-12-1960,"Pelotas, Brazil",Cruzeiro,,Douglas DC-3,22,10,0
04/14/1960,"Taipei ,Taiwan",Military - Royal Thai Air Force,,Douglas DC-4,18,18,0
04/18/1960,"Stephenville, Newfoundland",Military - U.S. Air Force,"Dover, Delaware - Mildenhall, England",Douglas C-124C Globemaster,9,9,0
04/19/1960,"Bogota, Colombia",Lloyd Aereo Colombiano,Miami - Medellin - Bogota,Curtiss C-46,51,37,0
04/20/1960,"Hickory, North Carolina",Piedmont Airlines / Private,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,44,4,0
04/22/1960,"Bunia, Belgian Congo",Sobelair SA (Belgium),Cairo - Bunia,Douglas C-54B,35,35,0
04/28/1960,"Near Calabozo, Venezuela",Linea Aeropostal Venezolana,Maiquetia - Calabozo,Douglas DC-3,13,13,0
05/15/1960,"Jebel Marra, Sudan",Balair,Niamey - Khartoum,Douglas DC-4-1009,12,12,0
09-07-1960,"Near Salto, Uruguay",Aerolineas Argentinas,Asuncion - Buenos Aires,Douglas DC-6,31,31,0
05/18/1960,"El Sosneado, Argentina",Transamerican Air Transport,Buenos Aires - Santiago,Curtiss C-46,10,10,0
05/23/1960,"Atlanta, Georgia",Delta Air Lines,Training,Convair CV-880,4,4,0
06-10-1960,"Off  Mackay, Qld. Australia",Trans Australia Airlines,Rockhampton - MacKay,Fokker F-27 Friendship 100,29,29,0
06/14/1960,"Mt. Gilbert, Alaska",PacifiNorthern Airlines,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,14,14,0
06/24/1960,"Rio de Janeiro, Brazil",REAL,Belo Horizonte - Rio de Janeiro,Convair CV-340-62,54,54,0
07-06-1960,"Off Barnegat City, New Jersey",Military - U.S. Navy,,Goodyear ZPG-3W (airship),21,18,0
07-10-1960,Persian Gulf,Gulf Aviation (Kalinga Airways),Doha - Sharjah,Douglas DC-3,16,16,0
07-11-1960,"Near Quito, Ecuador",Military - U.S. Air Force,Bogota - Quito,Douglas C-47B-DK,18,18,0
07/14/1960,"Off Manila, Philippines",Northwest Orient Airlines,Okinawa - Manila,Douglas DC-7C,58,1,0
07/15/1960,"Near Jima, Ethiopia",Ethiopian Airlines,Bulchi - Jimma,Douglas DC-3,11,1,0
07/19/1960,"Near Goma, Zaire",Military - Royal Belgian Air Force,,Fairchild C-119G,41,37,0
07/27/1960,"Forest Park, Illinois",Chicago Helicopter Airways,,Sikorsky S-58C helicopter,13,13,0
07/31/1960,"Near Rimini, Italy",Deutsche Flugdienst,Frankfort - Rimini,Convair CV-240-4,34,1,0
08-01-1960,"Near Tipuani, Bolivia",TAM (Bolivia),La Paz - Tipuani,Douglas C-47,6,6,0
08/17/1960,"Kiev, Ukraine, USSR",Aeroflot,Cairo - Moscow,Ilyushin IL-18,35,35,0
08/17/1960,"Near El Kelaa, Morocco",Military - French Naval Aviation,,Avro Lancaster 1,20,20,0
08/24/1960,"Off Heraklion, Greece",Don Everall Aviation,"Heraklion, Greece - Cairo, Egypt",Vickers 634 Viking 1B,3,3,0
08/29/1960,"Off Dakar, Senegal",Air France,Paris - Dakar,Lockheed 1049G Super Constellation,63,63,0
09/19/1960,"Agana, Guam, Mariana Islands",World Airways,Guam - Wake Island,Douglas DC-6AB,94,80,0
09/22/1960,"Off Naha, Okinawa",Military - U.S. Marine Corps,"Atsugi, Japan - Subi Point, Philippines",Douglas R5D-3,29,29,0
09/26/1960,"Moscow, Russia",Austrian Airlines,Warsaw - Moscow,Vickers Viscount 837,37,31,0
09/28/1960,"Near Juchetipec, Mexico",Mexicana,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),18,8,0
09/29/1960,"Off Elba, Italy",United Arab Airlines,Geneva - Rome,Vickers Viscount 739B,21,21,0
10-04-1960,"Boston, Massachusett",Eastern Air Lines,Boston - Philadelphia,Lockheed 188A Electra,72,62,0
10/14/1960,"Elba, Italy",Itavia,Rome - Genoa,de Havilland DH-114 Heron 2,11,11,0
10/15/1960,"Plain City, Utah",Capitol Airways,"Rapid City, South Dakota - Ogden, UT",Curtiss C-46F,2,2,0
10/21/1960,"Ust-Orda, Russia",Aeroflot,,Tupolev Tu-104A,3,3,0
10/28/1960,"Near Missoula, Montana",Northwest Orient Airlines,Spokane - Missoula,Douglas C-54A-DC,12,12,0
10/29/1960,"Toledo, Ohio",ArctiPacific,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,48,22,0
11-05-1960,"Bhairawa, Nepal",Royal Nepal Airlines,,Douglas C-47A,4,4,0
